frame,Unnamed: 0,objIndex,x,y,pnX,pnY,frame,particle,mass
27,115,115.0,300.24691358024694,452.33209876543214,,,27,1,810.0
28,118,118.0,294.95876288659787,157.3311855670103,,,28,0,776.0
28,120,120.0,298.40221402214024,455.769987699877,,,28,1,813.0
29,124,124.0,296.2851941747573,460.00728155339806,,,29,1,824.0
29,123,123.0,291.57033248081837,155.69693094629156,,,29,0,782.0
30,129,129.0,294.2059186189889,464.3020961775586,,,30,1,811.0
30,127,127.0,288.0369393139842,154.64775725593668,,,30,0,758.0
31,132,132.0,284.03457106274016,153.97311139564658,,,31,0,781.0
31,133,133.0,292.2059186189889,468.3020961775586,,,31,1,811.0
32,136,136.0,280.2198221092757,153.70775095298603,,,32,0,787.0
32,137,137.0,290.10243902439026,471.9451219512195,,,32,1,820.0
33,142,142.0,287.98024691358023,476.2555555555555,,,33,1,810.0
33,140,140.0,275.90673575129534,153.95466321243524,,,33,0,772.0
34,146,146.0,271.90051679586566,154.65503875968992,,,34,0,774.0
34,147,147.0,285.58795180722893,480.05421686746985,,,34,1,830.0
35,151,151.0,268.30946291560105,155.57161125319692,,,35,0,782.0
35,152,152.0,283.43226600985224,483.6502463054187,,,35,1,812.0
36,156,156.0,281.34938271604943,487.52962962962965,,,36,1,810.0
36,155,155.0,264.40750323415267,156.97283311772316,,,36,0,773.0
37,160,160.0,279.2193308550186,491.3197026022305,,,37,1,807.0
37,159,159.0,260.9597924773022,158.3722438391699,,,37,0,771.0
38,163,163.0,257.6312335958005,160.38713910761157,,,38,0,762.0
38,165,165.0,276.55665024630537,495.39655172413785,,,38,1,812.0
39,168,168.0,254.56440903054448,162.06108897742362,,,39,0,753.0
39,169,169.0,274.2966625463535,498.71322620519163,,,39,1,809.0
40,172,172.0,251.0039267015707,164.2303664921466,,,40,0,764.0
40,173,173.0,271.95437731196057,502.54623921085084,,,40,1,811.0
41,177,177.0,248.0826771653544,166.49081364829397,,,41,0,762.0
41,178,178.0,269.3659730722154,505.9277845777234,,,41,1,817.0
42,181,181.0,245.47668393782382,168.67227979274608,,,42,0,772.0
42,182,182.0,267.3589743589744,508.86813186813197,,,42,1,819.0
43,185,185.0,242.76078431372548,170.70196078431368,,,43,0,765.0
43,186,186.0,265.25612745098044,511.7683823529412,,,43,1,816.0
44,190,190.0,262.4207240948814,515.2634207240949,,,44,1,801.0
44,189,189.0,240.81304347826088,174.4753623188406,,,44,0,690.0
45,193,193.0,238.97771173848443,177.01931649331348,,,45,0,673.0
45,194,194.0,259.8739290085679,518.7992656058751,,,45,1,817.0
46,198,198.0,237.0391304347826,179.64202898550724,,,46,0,690.0
